audit_id,operation_type,transaction_id,type_id,user_id,created_at,changed_by,account_number,recipient_number,amount,comment,status_id,legal_type_id,transaction_date,sender_bank_id,recipient_bank_id,recipient_tin,category_id,recipient_phone,new_legal_type_id,new_transaction_date,new_comment,new_amount,new_status_id,new_sender_bank_id,new_recipient_bank_id,new_recipient_tin,new_category_id,new_recipient_phone
1,INSERT,1097,1,1,2025-05-12 19:18:36.375331,1,40817810000974370347,40817810000542156846,,,,,,,,,,,2,2023-11-12,Автотестовая транзакция,21404.18,5,2,1,45608367755,5,82158400559
2,INSERT,1098,1,1,2025-05-12 19:18:36.375331,1,40817810000257751478,40817810000600098100,,,,,,,,,,,1,2023-11-13,Автотестовая транзакция,34898.29,5,1,5,89690323880,8,+78460354504
3,INSERT,1099,2,2,2025-05-12 19:18:36.375331,2,40817810000390171710,40817810000295602427,,,,,,,,,,,1,2023-11-14,Автотестовая транзакция,26515.24,4,3,3,46218289200,1,+70811256981
4,INSERT,1100,2,2,2025-05-12 19:18:36.375331,2,40817810000892830212,40817810000657189307,,,,,,,,,,,1,2023-11-15,Автотестовая транзакция,29233.87,5,4,2,28851336355,2,+74727053062
5,INSERT,1101,2,2,2025-05-12 19:18:36.375331,2,40817810000122420183,40817810000068439611,,,,,,,,,,,1,2023-11-16,Автотестовая транзакция,4406.37,4,3,4,86479058273,11,88200754984
6,INSERT,1102,1,2,2025-05-12 19:18:36.375331,2,40817810000144299493,40817810000522936537,,,,,,,,,,,2,2023-11-17,Автотестовая транзакция,15759.84,5,4,5,68889395494,6,85269431414
7,INSERT,1103,2,1,2025-05-12 19:18:36.375331,1,40817810000676761820,40817810000128699939,,,,,,,,,,,1,2023-11-18,Автотестовая транзакция,37926.04,6,4,3,47359353211,3,+72477489908
8,INSERT,1104,2,2,2025-05-12 19:18:36.375331,2,40817810000993026471,40817810000376761120,,,,,,,,,,,2,2023-11-19,Автотестовая транзакция,24999.82,2,3,1,57527179254,9,+78842298220
9,INSERT,1105,2,2,2025-05-12 19:18:36.375331,2,40817810000195934875,40817810000315659170,,,,,,,,,,,1,2023-11-20,Автотестовая транзакция,20335.20,3,1,3,25233866727,1,89665094414
10,INSERT,1106,1,1,2025-05-12 19:18:36.375331,1,40817810000944145287,40817810000371313834,,,,,,,,,,,2,2023-11-21,Автотестовая транзакция,7682.46,2,1,4,25903739728,4,+74092492133
11,INSERT,1107,1,2,2025-05-12 19:18:36.375331,2,40817810000425215428,40817810000518642017,,,,,,,,,,,2,2023-11-22,Автотестовая транзакция,25797.92,7,3,2,45068518060,6,+74490527290
12,INSERT,1108,2,2,2025-05-12 19:18:36.375331,2,40817810000625600480,40817810000454416872,,,,,,,,,,,1,2023-11-23,Автотестовая транзакция,39013.04,4,4,4,84702636030,10,83419214971
13,INSERT,1109,1,2,2025-05-12 19:18:36.375331,2,40817810000416795804,40817810000593709146,,,,,,,,,,,2,2023-11-24,Автотестовая транзакция,31814.23,1,4,3,52759804305,8,+76335503462
14,INSERT,1110,1,1,2025-05-12 19:18:36.375331,1,40817810000616018124,40817810000392355883,,,,,,,,,,,2,2023-11-25,Автотестовая транзакция,8906.89,6,5,5,32008601333,10,+78622828580
15,INSERT,1111,2,1,2025-05-12 19:18:36.375331,1,40817810000756850560,40817810000706402820,,,,,,,,,,,1,2023-11-26,Автотестовая транзакция,27570.83,7,4,3,45318560660,10,+73488372390
16,INSERT,1112,2,1,2025-05-12 19:18:36.375331,1,40817810000139744945,40817810000894511211,,,,,,,,,,,2,2023-11-27,Автотестовая транзакция,43564.21,1,3,2,37149700434,11,+78118764470
17,INSERT,1113,1,2,2025-05-12 19:18:36.375331,2,40817810000306286800,40817810000501919750,,,,,,,,,,,1,2023-11-28,Автотестовая транзакция,16944.65,6,2,4,61220994508,11,+77381826577
18,INSERT,1114,1,2,2025-05-12 19:18:36.375331,2,40817810000089292689,40817810000856273128,,,,,,,,,,,2,2023-11-29,Автотестовая транзакция,29489.44,5,2,1,49170926415,6,+75641425857
19,INSERT,1115,2,2,2025-05-12 19:18:36.375331,2,40817810000296232586,40817810000068977336,,,,,,,,,,,2,2023-11-30,Автотестовая транзакция,47051.52,6,3,2,16738098429,3,+73618039236
20,INSERT,1116,1,2,2025-05-12 19:18:36.375331,2,40817810000949208482,40817810000168021538,,,,,,,,,,,2,2023-12-01,Автотестовая транзакция,37476.30,1,4,4,49631486335,3,+71138949626
21,INSERT,1117,1,2,2025-05-12 19:18:36.375331,2,40817810000202825009,40817810000421972946,,,,,,,,,,,1,2023-12-02,Автотестовая транзакция,5880.94,4,2,1,12485643586,7,89260876393
22,INSERT,1118,2,2,2025-05-12 19:18:36.375331,2,40817810000306032806,40817810000120158243,,,,,,,,,,,1,2023-12-03,Автотестовая транзакция,22610.66,3,2,4,75088362450,7,82547994584
23,INSERT,1119,1,1,2025-05-12 19:18:36.375331,1,40817810000490953733,40817810000226550141,,,,,,,,,,,2,2023-12-04,Автотестовая транзакция,39929.66,6,2,2,51625487504,5,+71325465491
24,INSERT,1120,1,1,2025-05-12 19:18:36.375331,1,40817810000497247117,40817810000312241877,,,,,,,,,,,2,2023-12-05,Автотестовая транзакция,6911.64,1,2,3,56526756898,10,+77184020072
25,INSERT,1121,1,1,2025-05-12 19:18:36.375331,1,40817810000866076917,40817810000434038374,,,,,,,,,,,2,2023-12-06,Автотестовая транзакция,6114.26,4,4,2,20007722234,2,+73761323855
26,INSERT,1122,2,1,2025-05-12 19:18:36.375331,1,40817810000242666735,40817810000392184074,,,,,,,,,,,1,2023-12-07,Автотестовая транзакция,7923.89,3,2,2,85351907552,7,+72321498767
27,INSERT,1123,2,2,2025-05-12 19:18:36.375331,2,40817810000585749004,40817810000452073830,,,,,,,,,,,2,2023-12-08,Автотестовая транзакция,13618.57,2,1,4,72778028713,1,+79554981165
28,INSERT,1124,2,1,2025-05-12 19:18:36.375331,1,40817810000033896922,40817810000590949741,,,,,,,,,,,2,2023-12-09,Автотестовая транзакция,28520.99,6,4,2,87177812071,6,87351387199
29,INSERT,1125,1,2,2025-05-12 19:18:36.375331,2,40817810000168241141,40817810000402468477,,,,,,,,,,,1,2023-12-10,Автотестовая транзакция,3405.03,3,3,3,66087498560,5,89357148249
30,INSERT,1126,2,1,2025-05-12 19:18:36.375331,1,40817810000963137383,40817810000860636178,,,,,,,,,,,1,2023-12-11,Автотестовая транзакция,16595.05,3,5,3,70093886408,6,+76440683128
31,INSERT,1127,1,1,2025-05-12 19:18:36.375331,1,40817810000665010832,40817810000780652339,,,,,,,,,,,2,2023-12-12,Автотестовая транзакция,20262.76,6,2,4,27868647821,1,82789659350
32,INSERT,1128,2,2,2025-05-12 19:18:36.375331,2,40817810000099367387,40817810000335358178,,,,,,,,,,,2,2023-12-13,Автотестовая транзакция,38669.73,4,2,4,90102437704,2,82660300218
33,INSERT,1129,1,2,2025-05-12 19:18:36.375331,2,40817810000781212162,40817810000888892958,,,,,,,,,,,1,2023-12-14,Автотестовая транзакция,11526.50,5,5,2,58008189351,11,88679215575
34,INSERT,1130,2,2,2025-05-12 19:18:36.375331,2,40817810000849479570,40817810000179411121,,,,,,,,,,,1,2023-12-15,Автотестовая транзакция,20880.58,5,1,3,44279320224,7,+72679868924
35,INSERT,1131,1,2,2025-05-12 19:18:36.375331,2,40817810000054976208,40817810000098376195,,,,,,,,,,,2,2023-12-16,Автотестовая транзакция,47109.91,4,2,4,85489136615,1,+78304908234
36,INSERT,1132,2,1,2025-05-12 19:18:36.375331,1,40817810000682183382,40817810000207130461,,,,,,,,,,,1,2023-12-17,Автотестовая транзакция,24509.55,4,4,1,85833353917,2,+77078448818
37,INSERT,1133,1,1,2025-05-12 19:18:36.375331,1,40817810000941353706,40817810000060910965,,,,,,,,,,,2,2023-12-18,Автотестовая транзакция,12130.28,4,3,4,46971767679,1,88157254278
38,INSERT,1134,1,2,2025-05-12 19:18:36.375331,2,40817810000916863481,40817810000965269523,,,,,,,,,,,2,2023-12-19,Автотестовая транзакция,35030.07,1,1,3,37834955477,7,83841807410
39,INSERT,1135,1,1,2025-05-12 19:18:36.375331,1,40817810000617027049,40817810000060838454,,,,,,,,,,,2,2023-12-20,Автотестовая транзакция,6560.32,3,4,2,92016426008,4,+76588355665
40,INSERT,1136,1,1,2025-05-12 19:18:36.375331,1,40817810000837897773,40817810000746726406,,,,,,,,,,,1,2023-12-21,Автотестовая транзакция,10484.29,4,1,3,78347220393,4,+74161459942
41,INSERT,1137,1,1,2025-05-12 19:18:36.375331,1,40817810000379073168,40817810000068262971,,,,,,,,,,,1,2023-12-22,Автотестовая транзакция,21648.63,3,3,2,72247672076,5,86488604018
42,INSERT,1138,2,2,2025-05-12 19:18:36.375331,2,40817810000749612115,40817810000254029109,,,,,,,,,,,2,2023-12-23,Автотестовая транзакция,50090.65,3,3,2,60181040579,11,+71021534339
43,INSERT,1139,2,1,2025-05-12 19:18:36.375331,1,40817810000941177097,40817810000812951563,,,,,,,,,,,1,2023-12-24,Автотестовая транзакция,20965.85,1,4,2,66081390076,5,+71890747304
44,INSERT,1140,2,1,2025-05-12 19:18:36.375331,1,40817810000823952822,40817810000494452676,,,,,,,,,,,1,2023-12-25,Автотестовая транзакция,27306.68,4,1,5,49884707674,5,89417618493
45,INSERT,1141,1,1,2025-05-12 19:18:36.375331,1,40817810000957153775,40817810000359248466,,,,,,,,,,,2,2023-12-26,Автотестовая транзакция,2970.82,5,2,5,16174170101,8,89911535171
46,INSERT,1142,2,1,2025-05-12 19:18:36.375331,1,40817810000649039777,40817810000356678295,,,,,,,,,,,2,2023-12-27,Автотестовая транзакция,13851.71,3,4,2,98890447887,5,+74721910149
47,INSERT,1143,2,2,2025-05-12 19:18:36.375331,2,40817810000521701120,40817810000111951324,,,,,,,,,,,1,2023-12-28,Автотестовая транзакция,2130.89,1,4,2,66368139870,9,80808156418
48,INSERT,1144,2,2,2025-05-12 19:18:36.375331,2,40817810000132613389,40817810000982414667,,,,,,,,,,,2,2023-12-29,Автотестовая транзакция,41308.17,4,2,4,55706743197,5,+79839248857
49,INSERT,1145,2,2,2025-05-12 19:18:36.375331,2,40817810000112433590,40817810000546727336,,,,,,,,,,,1,2023-12-30,Автотестовая транзакция,33365.97,4,2,4,73396769623,10,87473705181
50,INSERT,1146,2,2,2025-05-12 19:18:36.375331,2,40817810000190072276,40817810000333991111,,,,,,,,,,,1,2023-12-31,Автотестовая транзакция,21317.17,5,4,4,33106193855,3,82426403379
51,INSERT,1147,2,2,2025-05-12 19:18:36.375331,2,40817810000139514235,40817810000522704983,,,,,,,,,,,2,2024-01-01,Автотестовая транзакция,34873.01,4,3,2,75887489665,9,82866633211
52,INSERT,1148,2,1,2025-05-12 19:18:36.375331,1,40817810000156843016,40817810000524314953,,,,,,,,,,,1,2024-01-02,Автотестовая транзакция,3545.74,5,4,3,63341958115,11,80679257345
53,INSERT,1149,1,1,2025-05-12 19:18:36.375331,1,40817810000664946010,40817810000021615653,,,,,,,,,,,2,2024-01-03,Автотестовая транзакция,9838.65,5,2,3,31316457053,2,+71884579468
54,INSERT,1150,1,1,2025-05-12 19:18:36.375331,1,40817810000765686351,40817810000953724551,,,,,,,,,,,1,2024-01-04,Автотестовая транзакция,14641.67,2,1,3,26064462274,9,+75414304127
55,INSERT,1151,2,2,2025-05-12 19:18:36.375331,2,40817810000785671617,40817810000065553384,,,,,,,,,,,2,2024-01-05,Автотестовая транзакция,49463.57,7,4,1,16452611914,11,+70630915015
56,INSERT,1152,1,2,2025-05-12 19:18:36.375331,2,40817810000511013270,40817810000766635189,,,,,,,,,,,1,2024-01-06,Автотестовая транзакция,30476.04,7,4,3,61697383406,10,+78421607577
57,INSERT,1153,2,2,2025-05-12 19:18:36.375331,2,40817810000460334026,40817810000663039150,,,,,,,,,,,1,2024-01-07,Автотестовая транзакция,37326.32,4,3,5,65460981085,7,86832519918
58,INSERT,1154,2,1,2025-05-12 19:18:36.375331,1,40817810000927754237,40817810000453260316,,,,,,,,,,,1,2024-01-08,Автотестовая транзакция,20866.72,5,2,1,96860631984,1,83941460810
59,INSERT,1155,2,1,2025-05-12 19:18:36.375331,1,40817810000249127321,40817810000550609318,,,,,,,,,,,2,2024-01-09,Автотестовая транзакция,29777.02,7,5,1,69247519399,10,83106107601
60,INSERT,1156,1,1,2025-05-12 19:18:36.375331,1,40817810000864050989,40817810000292502246,,,,,,,,,,,1,2024-01-10,Автотестовая транзакция,4484.22,4,3,4,86809355109,9,+79437866376
61,INSERT,1157,1,1,2025-05-12 19:18:36.375331,1,40817810000409140546,40817810000935783015,,,,,,,,,,,2,2024-01-11,Автотестовая транзакция,17718.57,7,2,2,62599338318,2,+75968097061
62,INSERT,1158,1,1,2025-05-12 19:18:36.375331,1,40817810000659066332,40817810000658838422,,,,,,,,,,,2,2024-01-12,Автотестовая транзакция,10154.02,2,1,3,44617044983,9,+71571949245
63,INSERT,1159,2,1,2025-05-12 19:18:36.375331,1,40817810000004966898,40817810000514860547,,,,,,,,,,,2,2024-01-13,Автотестовая транзакция,48150.66,3,3,2,32826558544,8,+73562035475
64,INSERT,1160,1,2,2025-05-12 19:18:36.375331,2,40817810000961502211,40817810000204385844,,,,,,,,,,,1,2024-01-14,Автотестовая транзакция,3719.76,5,3,2,97260838413,11,+72543223719
65,INSERT,1161,1,2,2025-05-12 19:18:36.375331,2,40817810000307855965,40817810000353782454,,,,,,,,,,,1,2024-01-15,Автотестовая транзакция,42733.28,4,1,1,97494089199,10,85099240612
66,INSERT,1162,2,1,2025-05-12 19:18:36.375331,1,40817810000935792671,40817810000563252969,,,,,,,,,,,1,2024-01-16,Автотестовая транзакция,16446.11,6,3,4,10630501827,5,+78213961748
67,INSERT,1163,2,1,2025-05-12 19:18:36.375331,1,40817810000699641882,40817810000185799798,,,,,,,,,,,1,2024-01-17,Автотестовая транзакция,34572.09,3,4,5,51979237400,11,87113646873
68,INSERT,1164,1,1,2025-05-12 19:18:36.375331,1,40817810000731574187,40817810000576049762,,,,,,,,,,,2,2024-01-18,Автотестовая транзакция,38475.67,1,4,3,25591351034,11,+73668227992
